time,gFx,gFy,gFz,TgF
2.609268,1.7224,0.2835,0.2702,1.77
2.625519,1.6351,0.2798,0.1517,1.67
2.643046,1.3321,0.2486,0.2504,1.38
2.676708,0.7944,0.3521,0.2912,0.92
2.698834,0.5874,0.3089,0.3254,0.74
2.709215,0.6383,0.2688,0.3203,0.76
2.725706,0.9428,0.2325,0.2480,1.00
2.741733,1.1210,0.2158,0.2250,1.16
2.783325,0.9330,0.1147,0.1510,0.95
2.791553,0.9032,0.0844,0.1414,0.92
2.809019,0.8408,0.0380,0.1268,0.85
2.825974,0.7968,0.0445,0.1483,0.81
2.842846,0.7467,0.0670,0.1728,0.77
2.878118,0.7024,-0.0096,0.2194,0.74
2.892678,0.7404,-0.0304,0.2040,0.77
2.909413,0.7830,-0.0534,0.2062,0.81
2.925777,0.7734,-0.0827,0.2101,0.81
2.957692,0.7282,-0.0872,0.1390,0.75
2.975301,0.7744,-0.0968,0.1691,0.80
2.997238,0.9356,-0.0700,0.2101,0.96
3.008324,0.9938,-0.0382,0.2189,1.02
3.025587,1.0104,0.0110,0.2162,1.03
3.059379,0.9263,0.0133,0.1622,0.94
3.075319,0.9349,-0.0269,0.1270,0.94
3.094961,0.9720,-0.0607,0.1046,0.98
3.107870,0.9789,-0.0478,0.0965,0.98
3.141644,1.0385,0.0255,0.0476,1.04
3.158584,1.0556,0.0590,-0.0062,1.06
3.175167,1.0490,0.0841,-0.0026,1.05
3.196856,1.0751,0.1088,0.0522,1.08
3.209417,1.0856,0.0548,0.1969,1.10
3.230967,1.1936,-0.0474,0.3317,1.24
3.258472,1.3859,-0.3003,0.3489,1.46
3.275600,1.7418,-0.2830,0.4078,1.81
3.294734,1.8075,-0.0829,0.5954,1.90
3.326107,1.1685,0.0203,0.5436,1.29
3.342279,1.1022,-0.0118,0.4747,1.20
3.357234,1.0053,0.0159,0.4321,1.09
3.374015,0.9601,0.0827,0.3377,1.02
3.394917,1.0113,0.1007,0.2397,1.04
3.423866,1.0524,0.0086,0.2015,1.07
3.441476,1.0490,-0.0469,0.1519,1.06
3.457844,0.9962,-0.0819,0.1288,1.01
3.474551,0.8699,-0.1112,0.1449,0.89
3.494012,0.7123,-0.1249,0.1700,0.74
3.523262,0.5907,0.0426,0.1715,0.62
3.540164,0.5890,0.1603,0.1378,0.63
3.558315,0.5829,0.2397,0.1116,0.64
3.575227,0.5890,0.2530,0.0953,0.65
3.601695,0.5604,0.1510,0.1740,0.61
3.623118,0.5921,0.0990,0.1605,0.62
3.640329,0.6459,0.0672,0.1696,0.67
3.657200,0.7223,0.0707,0.1896,0.75
3.674825,0.8206,0.1347,0.2057,0.86
3.696552,0.8941,0.2446,0.1931,0.95
3.724147,0.9926,0.3145,0.1563,1.05
3.742327,1.0524,0.2722,0.1034,1.09
3.757309,1.0358,0.1820,0.0655,1.05
3.797142,1.1526,0.0380,0.0603,1.15
3.810899,1.1848,0.0362,0.1141,1.19
3.824359,1.1367,0.0888,0.1882,1.16
3.839564,1.1636,0.1899,0.3149,1.22
3.857017,1.3057,0.3162,0.3482,1.39
3.883417,1.4494,0.2715,0.3559,1.52
3.906549,1.3192,0.2884,0.3389,1.39
3.923560,1.1814,0.3690,0.3396,1.28
3.940636,1.1335,0.3243,0.3821,1.24
3.979439,0.9911,0.1718,0.3914,1.08
3.990092,0.9481,0.1232,0.3951,1.03
4.009423,0.9466,0.0122,0.4600,1.05
4.022859,1.0456,-0.0418,0.4197,1.13
4.055500,0.9454,-0.0367,0.2546,0.98
4.073013,0.8030,0.0315,0.2231,0.83
4.093066,0.7355,0.1207,0.1864,0.77
4.109543,0.7172,0.1286,0.1828,0.75
4.123053,0.6984,0.0895,0.1813,0.73
4.156037,0.6525,-0.0776,0.1664,0.68
4.172974,0.6635,-0.1498,0.1640,0.70
4.192587,0.6913,-0.1381,0.1337,0.72
4.205828,0.6952,-0.1161,0.1398,0.72
4.238772,0.7714,-0.0077,0.1974,0.80
4.257896,0.8562,0.0413,0.2113,0.88
4.273038,0.9151,0.0587,0.1962,0.94
4.293774,0.9356,0.0120,0.2087,0.96
4.308286,0.9468,-0.0260,0.1777,0.96
4.339397,0.9530,-0.0919,0.1332,0.97
4.355962,0.9498,-0.1030,0.1368,0.97
4.374123,0.9452,-0.1091,0.1197,0.96
4.395015,0.9561,-0.1012,0.0958,0.97
4.422235,1.0036,-0.0878,0.0764,1.01
4.439213,1.0612,-0.0534,0.0310,1.06
4.455270,1.1157,-0.0382,-0.0041,1.12
4.472211,1.1154,-0.0631,-0.0370,1.12
4.498123,1.1091,-0.0954,0.0184,1.11
4.527947,1.1274,-0.0993,0.2338,1.16
4.538553,1.1846,-0.1523,0.3862,1.26
4.554849,1.4120,-0.2214,0.4165,1.49
4.571935,1.6565,-0.1713,0.4116,1.72
4.597266,1.8256,0.0187,0.6100,1.92
4.621314,1.1916,0.0606,0.4933,1.29
4.638990,1.0830,0.0418,0.3773,1.15
4.655610,0.9666,0.0455,0.3616,1.03
4.671694,0.9323,0.0364,0.3645,1.00
4.692804,1.0800,0.0916,0.2974,1.12
4.722120,1.1809,0.1631,0.3084,1.23
4.738828,1.1787,0.1638,0.2714,1.22
4.755757,1.0670,0.1356,0.2325,1.10
4.794155,0.7129,0.0182,0.2208,0.75
4.795431,0.6879,0.0154,0.2175,0.72
4.821005,0.5071,0.0073,0.1798,0.54
