time,gFx,gFy,gFz,TgF
2.564993,0.9852,-0.0355,0.1889,1.00
2.598843,0.9867,-0.0357,0.1871,1.00
2.623678,0.9840,-0.0375,0.1910,1.00
2.631526,0.9838,-0.0387,0.1922,1.00
2.648277,0.9874,-0.0365,0.1938,1.01
2.666029,0.9864,-0.0380,0.1926,1.01
2.697682,0.9835,-0.0311,0.1913,1.00
2.718490,0.9828,-0.0313,0.1898,1.00
2.731659,0.9850,-0.0313,0.1913,1.00
2.747887,0.9852,-0.0333,0.1915,1.00
2.781622,0.9874,-0.0360,0.1935,1.01
2.798523,0.9852,-0.0357,0.1933,1.00
2.817970,0.9850,-0.0338,0.1950,1.00
2.831846,0.9847,-0.0350,0.1942,1.00
2.848034,0.9850,-0.0329,0.1982,1.01
2.866105,0.9825,-0.0333,0.2006,1.00
2.898312,0.9845,-0.0341,0.1966,1.00
2.917506,0.9813,-0.0350,0.1959,1.00
2.939843,0.9835,-0.0350,0.1947,1.00
2.947005,0.9822,-0.0348,0.1964,1.00
2.981394,0.9806,-0.0365,0.1982,1.00
2.997792,0.9831,-0.0365,0.2013,1.00
3.014884,0.9855,-0.0362,0.2028,1.01
3.040083,0.9864,-0.0353,0.2052,1.01
3.047520,0.9877,-0.0353,0.2055,1.01
3.080982,0.9857,-0.0353,0.1996,1.01
3.097070,0.9847,-0.0341,0.1994,1.01
3.118386,0.9818,-0.0360,0.1999,1.00
3.137279,0.9789,-0.0385,0.1996,1.00
3.163724,0.9818,-0.0380,0.1999,1.00
3.180606,0.9825,-0.0362,0.2033,1.00
3.197960,0.9838,-0.0360,0.2033,1.01
3.213300,0.9838,-0.0372,0.2018,1.00
3.240412,0.9815,-0.0392,0.2008,1.00
3.263580,0.9820,-0.0367,0.2045,1.00
3.280192,0.9825,-0.0323,0.2069,1.00
3.296580,0.9833,-0.0336,0.2069,1.01
3.313530,0.9838,-0.0362,0.2050,1.01
3.342447,0.9803,-0.0404,0.2006,1.00
3.362501,0.9801,-0.0380,0.2015,1.00
3.379407,0.9822,-0.0348,0.2038,1.00
3.397056,0.9813,-0.0320,0.2071,1.00
3.434027,0.9810,-0.0343,0.2031,1.00
3.435613,0.9815,-0.0362,0.2038,1.00
3.462541,0.9810,-0.0362,0.2050,1.00
3.479184,0.9801,-0.0362,0.2045,1.00
3.496590,0.9828,-0.0367,0.2071,1.01
3.537952,0.9803,-0.0329,0.2023,1.00
3.540221,0.9828,-0.0333,0.2035,1.00
3.568920,0.9831,-0.0341,0.2023,1.00
3.578645,0.9833,-0.0360,0.2059,1.01
