time,gFx,gFy,gFz,TgF
2.599600,1.1723,0.2925,0.1908,1.22
2.616122,1.0937,0.3013,0.1931,1.15
2.655274,0.9456,0.1125,0.2329,0.98
2.667556,1.0981,-0.0634,0.4813,1.20
2.682763,1.4550,-0.0607,0.5367,1.55
2.699989,1.5699,0.0919,0.2539,1.59
2.716785,1.7077,-0.0480,0.1176,1.71
2.753415,1.6006,-0.3849,-0.0917,1.65
2.766128,1.3297,-0.3375,-0.1811,1.38
2.783921,1.1047,-0.1640,-0.1394,1.13
2.799016,1.0216,0.0042,0.0193,1.02
2.832243,0.8795,0.2830,0.1666,0.94
2.849809,0.8262,0.2798,0.1722,0.89
2.878007,0.8098,0.0357,0.1673,0.83
2.883990,0.8008,-0.0050,0.1628,0.82
2.899374,0.7912,-0.0973,0.1414,0.81
2.933328,0.8301,-0.1596,0.1365,0.86
2.949745,0.9012,-0.1154,0.1261,0.92
2.971146,0.9016,0.0113,0.1209,0.91
2.990196,0.7991,0.1073,0.1244,0.82
3.015364,0.6764,0.1263,0.0834,0.69
3.032705,0.5699,0.0685,0.0699,0.58
3.048798,0.5743,-0.0394,0.0613,0.58
3.076723,0.6053,-0.1266,-0.0097,0.62
3.084372,0.5562,-0.1061,-0.0644,0.57
3.115944,0.6256,-0.1354,-0.0678,0.64
3.132094,0.8587,-0.1466,-0.0525,0.87
3.148651,1.0458,-0.0734,-0.0008,1.05
3.179547,1.0411,0.1324,0.0682,1.05
3.195136,0.9664,0.1582,0.0689,0.98
3.215026,0.8436,0.1093,0.0377,0.85
3.232403,0.9151,-0.0318,0.0657,0.92
3.249538,1.1084,-0.1916,0.1517,1.13
3.275085,1.1667,-0.0968,0.1725,1.18
3.298216,1.3358,0.0758,0.6176,1.47
3.315426,1.6334,0.4987,0.3580,1.74
3.332848,1.9216,0.9003,0.1241,2.13
3.350414,1.8051,0.5796,0.2199,1.91
3.367439,1.6832,-0.0804,0.3044,1.71
3.388225,1.5791,-0.3353,0.0452,1.61
3.414765,1.3339,-0.1489,-0.0360,1.34
3.431572,1.1489,0.0863,0.0615,1.15
3.448416,1.0355,0.2747,0.0965,1.08
3.467126,0.8818,0.3457,0.1376,0.96
3.498113,0.6274,0.1813,0.1146,0.66
3.514380,0.5811,0.0934,0.0970,0.60
3.531847,0.4788,0.0299,0.0354,0.48
3.548418,0.4725,0.0169,0.0233,0.47
3.581064,0.4570,0.0709,-0.0033,0.46
3.598155,0.4805,0.0770,0.0589,0.49
3.614671,0.5240,0.0639,0.0574,0.53
3.630959,0.5955,0.0572,0.0801,0.60
3.666004,0.6882,0.1408,0.0408,0.70
3.680765,0.6796,0.1056,0.0159,0.69
3.697792,0.7742,0.0096,0.0240,0.77
3.715580,0.9466,-0.0680,-0.0234,0.95
3.731479,1.0781,-0.0609,-0.0255,1.08
3.750487,1.1394,0.0228,-0.0265,1.14
3.781744,1.1576,0.2178,0.0266,1.18
3.809314,1.2379,0.2996,0.1879,1.29
3.814829,1.2547,0.2966,0.2082,1.31
3.856057,1.1643,0.1801,0.2986,1.22
3.856914,1.1797,0.1398,0.3338,1.23
3.877017,1.4646,-0.1589,0.6975,1.63
3.897477,1.3004,0.0264,0.5387,1.41
3.914595,1.1499,-0.0807,0.1183,1.16
3.950460,1.5501,-0.2542,-0.2102,1.58
3.964704,1.3436,0.0343,-0.0751,1.35
3.981885,1.2068,0.2325,0.0522,1.23
3.997461,1.2083,0.2486,0.1070,1.24
4.031410,1.2774,-0.0797,0.1752,1.29
4.046822,1.1997,-0.2087,0.1275,1.22
4.067890,1.0026,-0.2535,0.0506,1.04
4.081565,0.8792,-0.1936,0.0418,0.90
4.096603,0.7670,-0.0878,0.0459,0.77
4.131226,0.7285,0.1498,0.1422,0.76
4.146377,0.8054,0.1569,0.1493,0.83
4.166729,0.8399,0.0836,0.1368,0.86
4.179630,0.8403,0.0164,0.1176,0.85
4.197782,0.7919,-0.1061,0.1024,0.81
4.229855,0.7397,-0.1393,0.1305,0.76
4.247837,0.7020,-0.0565,0.0767,0.71
4.272830,0.5955,0.0521,0.0173,0.60
4.281499,0.5716,0.0778,-0.0241,0.58
4.313624,0.4604,0.0015,-0.0619,0.46
4.329885,0.6391,-0.2016,0.0396,0.67
4.346727,0.7935,-0.2393,0.0729,0.83
4.373320,0.9484,-0.1235,-0.0082,0.96
