time,gFx,gFy,gFz,TgF
2.660529,0.7556,0.1447,0.0701,0.77
2.682609,0.7649,0.1200,0.0491,0.78
2.695209,0.7883,0.1090,0.0426,0.80
2.710339,0.8301,0.0929,0.0435,0.84
2.744527,0.9221,0.0418,0.0975,0.93
2.760393,0.9349,0.0525,0.1395,0.95
2.784662,0.9838,0.1132,0.2167,1.01
2.797678,1.0262,0.1477,0.1810,1.05
2.809925,1.0910,0.1740,0.1427,1.11
2.845982,1.2628,0.0975,0.1491,1.28
2.861155,1.2579,0.0956,0.2793,1.29
2.878708,1.2764,0.0944,0.4158,1.35
2.899493,1.2496,0.1877,0.3000,1.30
2.926166,1.1606,0.2285,0.3877,1.24
2.943290,1.1061,0.2495,0.3533,1.19
2.959965,1.0172,0.2505,0.3471,1.10
2.984444,0.9173,0.2475,0.3853,1.03
3.008661,0.9193,0.2761,0.3660,1.03
3.015511,0.9219,0.2666,0.3513,1.02
3.043114,0.9144,0.1513,0.3264,0.98
3.060655,0.8972,0.0995,0.3371,0.96
3.076006,0.8929,0.0821,0.3140,0.95
3.097442,0.8911,0.0981,0.2790,0.94
3.125713,0.8824,0.1674,0.2299,0.93
3.143252,0.8631,0.1885,0.1999,0.91
3.159691,0.8271,0.1892,0.2033,0.87
3.176116,0.8110,0.1738,0.2133,0.86
3.197219,0.7971,0.1193,0.2334,0.84
3.225977,0.8081,0.0560,0.2646,0.85
3.242953,0.8113,0.0118,0.2416,0.85
3.260860,0.8177,-0.0126,0.2167,0.85
3.277053,0.8545,-0.0180,0.1950,0.88
3.298279,0.8927,0.0082,0.1764,0.91
3.325509,0.9186,0.0348,0.1833,0.94
3.344772,0.9242,0.0482,0.1982,0.95
3.358962,0.9454,0.0538,0.1896,0.97
3.397132,1.1057,0.0560,0.2521,1.14
3.412561,1.1226,0.0071,0.2790,1.16
3.425278,1.1347,-0.0220,0.3130,1.18
3.442901,1.1401,-0.0436,0.1644,1.15
3.461139,1.0737,-0.0343,0.1864,1.09
3.500460,1.3011,0.1969,0.2988,1.35
3.501121,1.3011,0.1969,0.2988,1.35
3.525128,1.0436,0.0921,0.3562,1.11
3.542100,1.0157,0.0411,0.4158,1.10
3.559569,0.9754,0.0406,0.3431,1.03
3.580698,0.9384,0.1017,0.4327,1.04
3.608770,0.9393,0.1965,0.5749,1.12
3.625758,0.9454,0.2383,0.5644,1.13
3.641581,0.9610,0.2558,0.5031,1.11
3.680184,1.0905,0.3071,0.2863,1.17
3.694165,1.0656,0.2751,0.2402,1.13
3.708969,1.0092,0.1987,0.2453,1.06
3.725117,0.9505,0.1125,0.2524,0.99
3.741825,0.9384,0.0562,0.2563,0.97
3.779051,0.8978,0.0131,0.2519,0.93
3.793131,0.8597,0.0294,0.2358,0.89
3.807970,0.8247,0.0396,0.1884,0.85
3.825299,0.7935,0.0678,0.1349,0.81
3.861016,0.7583,0.1235,0.0580,0.77
3.876928,0.7560,0.1508,0.0450,0.77
3.900478,0.7826,0.1750,0.0435,0.80
3.912449,0.7886,0.1780,0.0426,0.81
3.925339,0.7776,0.1728,0.0462,0.80
3.958828,0.8601,0.1296,0.0687,0.87
3.975414,0.8790,0.0997,0.1272,0.89
3.998214,0.8960,0.0941,0.2265,0.93
4.021562,1.0153,0.1533,0.1894,1.04
4.041019,1.1934,0.1990,0.1793,1.22
4.057384,1.2579,0.1804,0.2104,1.29
4.074436,1.2520,0.1689,0.2311,1.28
4.096335,1.3018,0.2246,0.4642,1.40
4.106953,1.2533,0.2363,0.4334,1.35
4.140674,1.1580,0.2700,0.4004,1.25
4.158204,1.1279,0.2747,0.3455,1.21
4.174173,1.0141,0.2630,0.3469,1.10
4.195135,0.9276,0.2165,0.4097,1.04
4.209474,0.9249,0.2278,0.4165,1.04
4.241507,0.9520,0.1503,0.3538,1.03
4.257078,0.9720,0.0755,0.3271,1.03
4.274372,0.9554,0.0187,0.3179,1.01
4.293321,0.9286,0.0005,0.2832,0.97
4.323542,0.8169,0.0675,0.2152,0.85
4.340644,0.7870,0.1428,0.1747,0.82
4.357420,0.8066,0.2053,0.1407,0.84
4.375174,0.8115,0.2258,0.1573,0.86
4.399815,0.7688,0.1992,0.2136,0.82
4.417151,0.7653,0.1725,0.2480,0.82
4.440854,0.7991,0.0932,0.2336,0.84
4.457468,0.8357,0.0145,0.2507,0.87
4.473981,0.8660,-0.0326,0.2812,0.91
4.499063,0.9044,-0.0382,0.2612,0.94
4.523249,0.9119,-0.0069,0.2418,0.94
4.540779,0.8985,0.0152,0.2057,0.92
4.558532,0.9195,0.0328,0.1698,0.94
4.575355,1.0076,0.0724,0.1801,1.03
4.595469,1.0705,0.0795,0.2588,1.10
4.623419,1.0751,0.0054,0.2856,1.11
4.639735,1.0688,-0.0514,0.2115,1.09
4.657121,1.0903,-0.0785,0.1575,1.10
4.692529,1.2288,-0.0131,0.3184,1.27
4.711139,1.2081,0.0973,0.4032,1.28
4.722807,1.0922,0.0949,0.4278,1.18
4.739483,1.0539,0.1198,0.5101,1.18
4.761721,0.9647,0.1181,0.4571,1.07
4.793215,0.9065,0.2270,0.4801,1.05
4.807321,0.8976,0.2771,0.4537,1.04
4.823041,0.9295,0.3199,0.4102,1.07
4.839344,0.9593,0.3233,0.3946,1.09
4.874292,1.0463,0.2561,0.3352,1.13
4.894734,1.0761,0.1999,0.2988,1.13
4.912022,1.0516,0.1440,0.2709,1.10
4.922878,0.9999,0.1174,0.2588,1.04
4.956471,0.9181,0.0724,0.2641,0.96
4.973717,0.8948,0.0580,0.2695,0.94
4.993942,0.8758,0.0660,0.2499,0.91
5.009071,0.8653,0.0800,0.2162,0.90
5.039017,0.8318,0.0907,0.1207,0.85
5.056283,0.8184,0.0819,0.0929,0.83
5.073535,0.8064,0.0751,0.0869,0.81
5.089305,0.7988,0.0636,0.0894,0.81
5.113214,0.8110,0.0702,0.0880,0.82
5.128244,0.8182,0.1000,0.0801,0.83
5.156395,0.8230,0.1256,0.0618,0.83
5.174103,0.8403,0.1239,0.0574,0.85
5.189589,0.8613,0.1168,0.0821,0.87
5.218337,0.9239,0.1319,0.1503,0.95
5.234657,1.0270,0.1703,0.1845,1.06
5.255388,1.1343,0.1965,0.1791,1.17
5.272870,1.2039,0.1799,0.1722,1.23
5.294366,1.1897,0.1498,0.1378,1.21
5.322524,1.2251,0.1618,0.3571,1.29
5.340092,1.1809,0.1718,0.3164,1.23
5.355593,1.1944,0.2234,0.2797,1.25
5.372444,1.2119,0.2321,0.5131,1.34
5.393617,1.2002,0.2598,0.4869,1.32
5.422422,0.9955,0.2612,0.5169,1.15
5.439141,0.9261,0.2966,0.4673,1.08
5.456605,0.9156,0.3213,0.4073,1.05
5.474166,0.8816,0.2679,0.3398,0.98
5.489288,0.8399,0.1918,0.2947,0.91
5.510615,0.7968,0.1027,0.2676,0.85
5.539297,0.7919,0.0809,0.2472,0.83
5.555565,0.8284,0.0985,0.2402,0.87
5.573163,0.8892,0.1354,0.2531,0.93
5.596348,0.9105,0.1718,0.2541,0.96
5.612779,0.8916,0.1894,0.2570,0.95
5.639383,0.8450,0.1764,0.2576,0.90
5.656541,0.8313,0.1442,0.2588,0.88
5.676529,0.8318,0.0751,0.2567,0.87
5.709876,0.8475,-0.0438,0.2038,0.87
5.724398,0.8709,-0.0634,0.2006,0.90
5.738316,0.8970,-0.0599,0.2094,0.92
5.754881,0.9100,-0.0485,0.2157,0.94
5.792472,0.9046,0.0179,0.1798,0.92
5.805610,0.9070,0.0441,0.1737,0.92
5.821138,0.9256,0.0827,0.1661,0.94
5.838265,1.0116,0.1281,0.2131,1.04
5.854920,1.0646,0.1110,0.2360,1.10
5.892624,1.0593,-0.0106,0.1596,1.07
5.916351,1.0509,-0.0211,0.1278,1.06
5.926798,1.0661,-0.0257,0.1321,1.07
5.937752,1.0815,-0.0162,0.1801,1.10
5.974966,1.1944,0.1259,0.3184,1.24
5.987071,1.1423,0.0949,0.3569,1.20
6.008285,1.1902,0.0626,0.4864,1.29
6.021052,1.1487,0.0518,0.5194,1.26
6.036923,1.0092,0.0804,0.5343,1.14
6.070717,0.8418,0.2304,0.5688,1.04
6.087311,0.8171,0.2695,0.5414,1.02
6.107990,0.8897,0.2879,0.4202,1.03
6.120985,0.9703,0.2763,0.3531,1.07
6.137465,1.0087,0.2588,0.2719,1.08
6.170752,1.0763,0.1188,0.2164,1.10
6.188541,1.0448,0.0138,0.2534,1.08
6.208940,1.0134,-0.0634,0.2898,1.06
6.236132,0.9525,-0.0462,0.3079,1.00
6.239086,0.9452,-0.0434,0.3061,0.99
6.270566,0.8541,0.0587,0.2548,0.89
6.287149,0.8208,0.1137,0.1833,0.85
6.308876,0.7961,0.1757,0.0764,0.82
6.325179,0.7705,0.1920,0.0418,0.80
6.354335,0.7695,0.1743,0.0491,0.79
6.371376,0.7661,0.1410,0.0729,0.78
6.387516,0.7746,0.1193,0.0821,0.79
6.407690,0.7932,0.1105,0.0825,0.81
6.422172,0.8387,0.0988,0.0613,0.85
6.453605,0.8582,0.0592,0.1053,0.87
6.470835,0.8936,0.0460,0.1647,0.91
6.487131,0.9742,0.0662,0.2040,1.00
6.508208,1.0830,0.1263,0.2003,1.11
6.536310,1.2163,0.1425,0.2194,1.24
6.553097,1.1687,0.1058,0.1637,1.18
6.570521,1.1557,0.0934,0.1107,1.16
6.587065,1.1795,0.1174,0.2998,1.22
6.609162,1.1169,0.1273,0.3247,1.17
6.625204,1.1824,0.1838,0.2439,1.22
6.653447,1.2021,0.1743,0.4532,1.30
6.670547,1.2626,0.1769,0.4515,1.35
6.691808,1.0700,0.2009,0.5265,1.21
6.706162,0.9168,0.2549,0.4742,1.06
6.736275,0.8298,0.3421,0.3741,0.97
6.753756,0.8428,0.3057,0.3081,0.95
6.771044,0.8077,0.2278,0.2612,0.88
6.786159,0.8096,0.1882,0.2462,0.87
6.809184,0.8284,0.1584,0.2358,0.88
6.837155,0.8501,0.1601,0.2497,0.90
6.853594,0.8799,0.1662,0.2621,0.93
6.869268,0.8965,0.1669,0.2646,0.95
6.892499,0.8827,0.1622,0.2732,0.94
6.908972,0.8814,0.1464,0.2721,0.93
6.935822,0.8625,0.0897,0.2756,0.91
6.952749,0.8609,0.0482,0.2714,0.90
6.969209,0.8504,0.0001,0.2465,0.89
6.990111,0.8445,-0.0441,0.2089,0.87
7.018760,0.8736,-0.0480,0.1803,0.89
7.037121,0.8611,-0.0333,0.1556,0.88
7.052236,0.8633,-0.0040,0.1181,0.87
7.085808,0.8934,0.0320,0.1261,0.90
7.109518,0.9908,0.0885,0.2033,1.02
7.134981,1.1110,0.0623,0.3051,1.15
7.140703,1.1299,0.0424,0.3149,1.17
7.168286,1.1457,-0.0443,0.2707,1.18
7.185848,1.1345,-0.0397,0.2126,1.15
7.206405,1.1252,-0.0008,0.2175,1.15
7.223150,1.1721,0.0629,0.2082,1.19
7.235102,1.2310,0.1408,0.2790,1.27
7.269418,1.0414,0.0348,0.3821,1.11
7.285372,1.0519,0.0318,0.4673,1.15
7.307645,0.9312,0.0174,0.4901,1.05
7.323461,0.8475,0.0858,0.5355,1.01
7.351708,0.8601,0.2412,0.5788,1.06
7.368591,0.9119,0.3213,0.4910,1.08
7.385286,0.9820,0.3389,0.4160,1.12
7.406046,1.0930,0.3296,0.3140,1.18
7.422847,1.1573,0.3147,0.2812,1.23
7.451798,1.0600,0.1181,0.2856,1.10
7.469315,0.9750,0.0235,0.2773,1.01
7.485458,0.9246,-0.0362,0.2502,0.96
7.505427,0.8829,-0.0721,0.2382,0.92
7.534448,0.8289,-0.0236,0.2194,0.86
7.551310,0.7963,0.0404,0.1754,0.82
7.568066,0.7961,0.0872,0.1134,0.81
7.585048,0.7988,0.1268,0.0760,0.81
7.606291,0.7879,0.1528,0.0760,0.81
7.634451,0.7717,0.1471,0.1041,0.79
7.650993,0.7817,0.1430,0.1027,0.80
7.669427,0.7859,0.1559,0.0648,0.80
7.684943,0.8042,0.1530,0.0433,0.82
7.707422,0.8284,0.1205,0.0525,0.84
7.734947,0.8350,0.1102,0.1571,0.86
7.751435,0.8841,0.1571,0.2392,0.93
7.768184,0.9908,0.2134,0.2321,1.04
7.785884,1.2029,0.2488,0.2167,1.25
7.806427,1.2955,0.1899,0.2539,1.33
7.836783,1.2703,0.1291,0.2663,1.30
7.852071,1.2503,0.1207,0.4109,1.32
7.867607,1.2078,0.1012,0.3528,1.26
7.904250,1.1511,0.1557,0.4095,1.23
7.920284,1.1618,0.2267,0.3882,1.25
7.934177,1.0695,0.2449,0.4368,1.18
7.950627,0.9344,0.2336,0.4547,1.07
7.987559,0.9151,0.2986,0.4368,1.06
8.001792,0.9386,0.2414,0.3716,1.04
8.017646,0.9176,0.1552,0.3350,0.99
8.034259,0.8978,0.0860,0.3042,0.95
8.066710,0.8448,0.0819,0.2700,0.89
8.084455,0.8457,0.1235,0.2565,0.89
8.100702,0.8536,0.1615,0.2436,0.90
8.126834,0.8633,0.2072,0.2462,0.92
8.152951,0.8369,0.2106,0.2773,0.91
8.167530,0.8215,0.1850,0.2783,0.89
8.186561,0.8096,0.1354,0.2851,0.87
8.200877,0.8017,0.0909,0.2795,0.85
8.223091,0.8166,0.0150,0.2660,0.86
8.237136,0.8423,-0.0336,0.2446,0.88
8.268381,0.8765,-0.0672,0.2031,0.90
8.283762,0.8818,-0.0770,0.1857,0.90
8.304910,0.8909,-0.0367,0.1654,0.91
8.321944,0.8851,-0.0071,0.1705,0.90
8.350638,0.9424,0.0555,0.1898,0.96
8.366589,1.0113,0.0836,0.2325,1.04
8.383860,1.0614,0.0594,0.3035,1.11
8.404636,1.1282,0.0020,0.2292,1.15
8.423914,1.0935,-0.0350,0.2155,1.12
8.449868,1.0632,-0.0348,0.1568,1.08
8.467072,1.1387,-0.0255,0.2074,1.16
8.483133,1.1995,0.0848,0.2729,1.23
8.504373,1.1228,0.1054,0.3154,1.17
8.520619,1.1220,0.0572,0.4160,1.20
8.549726,1.1350,0.1058,0.5873,1.28
8.567179,0.9869,0.1435,0.6382,1.18
8.582976,0.8944,0.2058,0.6528,1.13
8.603333,0.8331,0.2879,0.6032,1.07
8.632268,0.8721,0.3257,0.4281,1.02
8.650250,0.9694,0.3131,0.3335,1.07
8.666532,1.0290,0.2933,0.2802,1.11
8.685126,1.0722,0.2183,0.2309,1.12
8.719542,0.9972,0.0213,0.2465,1.03
8.735418,0.9669,-0.0457,0.2378,1.00
8.748731,0.9452,-0.0721,0.2343,0.98
8.766741,0.8878,-0.0631,0.2497,0.92
8.803733,0.8415,0.0592,0.2057,0.87
8.817481,0.8169,0.0924,0.1630,0.84
8.831816,0.8005,0.1170,0.1121,0.82
8.849756,0.7830,0.1405,0.0631,0.80
8.867631,0.7837,0.1401,0.0503,0.80
8.900626,0.7968,0.1401,0.0789,0.81
8.921885,0.8003,0.1496,0.0857,0.82
8.939721,0.8166,0.1403,0.0713,0.83
8.948528,0.8252,0.1239,0.0729,0.84
8.982561,0.8613,0.0702,0.1370,0.87
8.999310,0.8557,0.0783,0.2199,0.89
9.020629,0.9540,0.1119,0.2604,1.00
9.034800,1.0514,0.1461,0.1954,1.08
9.048502,1.1585,0.1740,0.1644,1.18
9.083295,1.2750,0.1296,0.1312,1.29
9.099917,1.2366,0.1501,0.2636,1.27
9.122060,1.1665,0.1354,0.2947,1.21
9.146538,1.1533,0.1808,0.3164,1.21
9.150373,1.1541,0.1764,0.3482,1.22
9.182053,1.2936,0.2246,0.4048,1.37
