time,gFx,gFy,gFz,TgF
2.678802,1.3735,0.1640,0.4747,1.46
2.705557,1.1625,0.1701,0.4212,1.25
2.722310,1.0062,0.2004,0.3855,1.10
2.740130,0.9198,0.2502,0.3662,1.02
2.778575,0.9324,0.3606,0.3217,1.05
2.797913,0.9706,0.3602,0.2790,1.07
2.805170,1.0006,0.3525,0.2604,1.09
2.822045,0.9880,0.3364,0.2325,1.07
2.855920,0.9545,0.2486,0.2216,1.01
2.879482,0.9787,0.1916,0.2143,1.02
2.897098,0.9957,0.1762,0.2045,1.03
2.904527,0.9994,0.1669,0.2028,1.03
2.921475,0.9882,0.1515,0.1854,1.02
2.958754,0.9237,0.1474,0.1644,0.95
2.980224,0.8189,0.1564,0.1324,0.84
2.992122,0.7807,0.1718,0.1265,0.81
3.005126,0.7483,0.1894,0.1261,0.78
3.022101,0.6987,0.2094,0.1202,0.74
3.055001,0.6605,0.2957,0.1039,0.73
3.073865,0.6677,0.3301,0.1018,0.75
3.089772,0.6999,0.3450,0.1153,0.79
3.104943,0.7253,0.3333,0.1136,0.81
3.137963,0.7988,0.3101,0.1363,0.87
3.156511,0.8322,0.3118,0.1451,0.90
3.174992,0.8625,0.2994,0.1085,0.92
3.189246,0.8657,0.2876,0.0745,0.92
3.204784,0.8870,0.2754,0.0713,0.93
3.240133,0.9669,0.2376,0.0726,1.00
3.255359,1.0153,0.2170,0.0415,1.04
3.274344,1.1000,0.2204,0.0210,1.12
3.289115,1.1799,0.2348,0.0063,1.20
3.304941,1.2512,0.2563,0.0261,1.28
3.337471,1.1208,0.3658,0.1584,1.19
3.354708,1.1927,0.4034,0.2453,1.28
3.376103,1.3087,0.4628,0.1730,1.40
3.397945,1.2254,0.4875,0.4134,1.38
3.421549,1.0563,0.4440,0.3987,1.21
3.437481,0.9068,0.4232,0.3149,1.05
3.454306,0.7788,0.4027,0.2467,0.91
3.474356,0.7812,0.3602,0.2236,0.89
3.488875,0.8310,0.2893,0.2050,0.90
3.521022,0.9078,0.1135,0.2670,0.95
3.538032,0.9435,0.0660,0.3059,0.99
3.554259,0.9471,0.0509,0.3301,1.00
3.576851,0.9214,0.0646,0.3293,0.98
3.593186,0.9183,0.1046,0.2993,0.97
3.620725,0.8919,0.2253,0.2378,0.95
3.638195,0.8618,0.3113,0.2131,0.94
3.654578,0.8362,0.3474,0.1886,0.92
3.672514,0.7971,0.3560,0.1703,0.89
3.703605,0.7766,0.2759,0.1913,0.85
3.721417,0.7788,0.1994,0.1991,0.83
3.736887,0.7984,0.1479,0.2131,0.84
3.753857,0.8124,0.0846,0.2282,0.85
3.775141,0.8347,0.0120,0.2236,0.86
3.794601,0.8594,-0.0079,0.2208,0.89
3.820736,0.9007,0.0264,0.1999,0.92
3.837511,0.9093,0.0431,0.1698,0.93
3.853645,0.9075,0.0602,0.1427,0.92
3.874668,0.8863,0.0729,0.1256,0.90
3.902956,0.8907,0.0736,0.0904,0.90
3.920986,0.9039,0.0895,0.1136,0.92
3.937461,0.9481,0.1076,0.1270,0.96
3.953002,0.9982,0.1296,0.1319,1.02
3.974581,1.0744,0.1247,0.1698,1.09
4.008653,1.2127,0.1100,0.1954,1.23
4.020285,1.2461,0.1102,0.2025,1.27
4.036698,1.2666,0.0695,0.2925,1.30
4.073223,1.3407,0.0538,0.3906,1.40
4.091173,1.3138,0.0492,0.4317,1.38
4.102347,1.3123,0.1090,0.4275,1.38
4.120299,1.1983,0.2087,0.4170,1.29
4.136433,1.0717,0.2703,0.4009,1.18
4.173551,0.8983,0.3558,0.3117,1.02
4.193789,0.8934,0.3548,0.2986,1.01
4.203000,0.9168,0.3348,0.2863,1.02
4.219296,0.9520,0.3220,0.2768,1.04
4.237318,0.9512,0.2989,0.2729,1.03
4.272606,0.9251,0.2632,0.2206,0.99
4.294270,0.9684,0.2426,0.2229,1.02
4.303405,0.9957,0.2280,0.2273,1.05
4.319024,1.0204,0.2053,0.2243,1.06
4.360474,0.9825,0.1731,0.1920,1.02
