time,gFx,gFy,gFz,TgF,Activity,Subject
1.743576,0.3535,-0.4081,-0.8396,1.0,LAYING,LAKSH
1.772906,0.353,-0.4073,-0.8391,1.0,LAYING,LAKSH
1.788639,0.3473,-0.4079,-0.843,1.0,LAYING,LAKSH
1.807389,0.3432,-0.4091,-0.8442,1.0,LAYING,LAKSH
1.823366,0.3439,-0.4093,-0.8469,1.0,LAYING,LAKSH
1.844489,0.343,-0.4081,-0.8508,1.0,LAYING,LAKSH
1.871653,0.3449,-0.4071,-0.8408,1.0,LAYING,LAKSH
1.888642,0.3466,-0.4081,-0.8384,0.99,LAYING,LAKSH
1.906903,0.3432,-0.4007,-0.8398,0.99,LAYING,LAKSH
1.923003,0.3424,-0.4022,-0.8435,1.0,LAYING,LAKSH
1.942822,0.3419,-0.4056,-0.8498,1.0,LAYING,LAKSH
1.972066,0.3439,-0.4128,-0.851,1.01,LAYING,LAKSH
1.989673,0.34,-0.4132,-0.8491,1.0,LAYING,LAKSH
2.006262,0.3395,-0.4122,-0.8496,1.0,LAYING,LAKSH
2.025263,0.3346,-0.4098,-0.8503,1.0,LAYING,LAKSH
2.055163,0.3363,-0.4095,-0.8517,1.0,LAYING,LAKSH
2.07273,0.3332,-0.4083,-0.8522,1.0,LAYING,LAKSH
2.088474,0.3344,-0.4095,-0.8506,1.0,LAYING,LAKSH
2.106617,0.3346,-0.4083,-0.8506,1.0,LAYING,LAKSH
2.127937,0.3366,-0.4095,-0.8498,1.0,LAYING,LAKSH
2.15411,0.3344,-0.4095,-0.8508,1.0,LAYING,LAKSH
2.172565,0.33,-0.4068,-0.8517,1.0,LAYING,LAKSH
2.187969,0.3298,-0.4061,-0.852,1.0,LAYING,LAKSH
2.205593,0.3312,-0.4056,-0.8547,1.0,LAYING,LAKSH
2.228415,0.3379,-0.4042,-0.8538,1.0,LAYING,LAKSH
2.260109,0.3363,-0.4007,-0.8364,0.99,LAYING,LAKSH
2.271342,0.3324,-0.4005,-0.841,0.99,LAYING,LAKSH
2.287419,0.3258,-0.4002,-0.855,1.0,LAYING,LAKSH
2.329736,0.3185,-0.4137,-0.8584,1.0,LAYING,LAKSH
2.330294,0.3207,-0.4125,-0.8584,1.0,LAYING,LAKSH
2.354602,0.3205,-0.4154,-0.853,1.0,LAYING,LAKSH
2.371142,0.32,-0.4125,-0.8545,1.0,LAYING,LAKSH
2.404034,0.3234,-0.4054,-0.8584,1.0,LAYING,LAKSH
2.421446,0.3212,-0.4049,-0.8587,1.0,LAYING,LAKSH
2.441162,0.3221,-0.4049,-0.8547,1.0,LAYING,LAKSH
2.454088,0.3251,-0.4044,-0.854,1.0,LAYING,LAKSH
2.471017,0.3253,-0.4044,-0.8513,1.0,LAYING,LAKSH
