time,gFx,gFy,gFz,TgF
2.663258,1.1222,0.1743,0.1512,1.15
2.687310,1.1714,0.2847,0.1575,1.22
2.705095,1.3038,0.3187,0.1877,1.36
2.721487,1.3251,0.3084,0.3028,1.39
2.741610,1.2892,0.3223,0.2458,1.35
2.762887,1.3048,0.3773,-0.0332,1.36
2.786902,1.3840,0.1713,0.0916,1.40
2.806323,1.3793,0.0648,0.1346,1.39
2.821269,1.3160,0.0331,0.1439,1.32
2.842645,1.1873,0.0836,0.0946,1.19
2.863518,1.1264,0.1503,0.0660,1.14
2.887414,1.0038,0.1743,0.0638,1.02
2.903956,0.9176,0.1782,0.0266,0.94
2.941556,0.7427,0.1542,-0.0124,0.76
2.958275,0.6879,0.1405,-0.0016,0.70
2.970831,0.6671,0.1384,0.0075,0.68
2.986551,0.6552,0.1308,0.0059,0.67
3.003377,0.6593,0.1273,-0.0016,0.67
3.024151,0.6833,0.1249,0.0112,0.69
3.044052,0.7076,0.1215,0.0161,0.72
3.071483,0.7236,0.0848,0.0166,0.73
3.088324,0.7236,0.0765,0.0176,0.73
3.103711,0.7109,0.0755,0.0310,0.72
3.124198,0.7558,0.0299,0.0335,0.76
3.144620,0.8573,0.0333,0.0081,0.86
3.171919,0.9722,0.0746,0.0611,0.98
3.186484,1.0722,0.1344,0.0894,1.08
3.220280,1.1739,0.1862,0.2524,1.22
3.244456,1.5093,0.3233,0.3890,1.59
3.262174,1.6285,0.3812,0.4354,1.73
3.269675,1.5408,0.3902,0.3987,1.64
3.286871,1.3463,0.3348,0.3843,1.44
3.328230,1.2557,0.2123,0.1011,1.28
3.330167,1.2557,0.2123,0.1011,1.28
3.361333,1.1098,0.0521,-0.0561,1.11
3.370331,1.1287,0.0362,-0.0758,1.13
3.402655,1.2100,-0.0103,0.1630,1.22
3.419249,1.1616,0.0233,0.1777,1.18
3.440397,1.0627,0.0304,0.1781,1.08
3.463635,0.9270,0.0345,0.1605,0.94
3.469410,0.9029,0.0418,0.1519,0.92
3.503427,0.7649,0.0809,0.1368,0.78
3.518744,0.7299,0.0839,0.1393,0.75
