time,gFx,gFy,gFz,TgF
2.672879,0.6649,0.1945,0.2453,0.73
2.703185,0.6866,0.1860,0.2821,0.77
2.722447,0.7133,0.1601,0.3179,0.80
2.738424,0.7859,0.1127,0.3474,0.87
2.753925,0.8426,0.0748,0.3382,0.91
2.773820,0.8946,0.0558,0.2993,0.94
2.803344,0.9975,0.0618,0.2809,1.04
2.820156,1.0162,0.0623,0.2697,1.05
2.837142,1.0327,0.0501,0.2443,1.06
2.853776,1.0502,0.0482,0.2548,1.08
2.874249,1.1030,0.0336,0.3088,1.15
2.903356,1.1408,0.1073,0.3249,1.19
2.920296,1.1325,0.2116,0.4160,1.22
2.936606,1.1560,0.2761,0.5187,1.30
2.974287,1.2535,0.3895,0.6680,1.47
2.986191,1.2354,0.4110,0.6890,1.47
3.003705,1.1978,0.4091,0.7871,1.49
3.020089,1.1120,0.4328,0.8795,1.48
3.039177,0.9190,0.4708,0.7612,1.28
3.076279,0.7409,0.4207,0.3767,0.93
3.088412,0.7201,0.3814,0.2858,0.86
3.103658,0.7570,0.3394,0.2450,0.87
3.119489,0.8306,0.2666,0.2439,0.91
3.152872,0.9803,0.1210,0.3377,1.04
3.175125,0.9857,0.1090,0.3890,1.07
3.186342,0.9638,0.1459,0.4055,1.06
3.203671,0.8902,0.2046,0.4172,1.00
3.237261,0.7693,0.2868,0.2963,0.87
3.253631,0.7236,0.2991,0.2409,0.82
3.273692,0.6673,0.2861,0.2155,0.76
3.285936,0.6398,0.2630,0.2092,0.72
3.302701,0.6016,0.2013,0.1928,0.66
3.335934,0.5846,0.1484,0.2077,0.64
3.355446,0.6207,0.2018,0.2040,0.68
3.372373,0.6945,0.2659,0.1676,0.76
3.385314,0.7483,0.3240,0.1524,0.83
3.403184,0.8217,0.3594,0.1847,0.92
3.435611,0.9661,0.2876,0.2616,1.04
3.453353,1.0082,0.3421,0.3189,1.11
3.474976,1.0229,0.4386,0.3972,1.18
3.486779,0.9710,0.4657,0.4183,1.16
3.519280,1.3612,0.6924,0.6103,1.64
3.535442,1.3470,0.7618,0.5374,1.64
3.552570,1.2083,0.7019,0.5441,1.50
3.575829,0.9178,0.5679,0.5269,1.20
3.595851,0.8645,0.4228,0.4495,1.06
3.619156,0.7287,0.2583,0.5390,0.94
3.635236,0.6484,0.1643,0.6086,0.90
3.652597,0.7036,0.1332,0.6007,0.93
3.671953,0.8042,0.2013,0.5441,0.99
3.702375,0.8124,0.3199,0.4537,0.98
3.718796,0.7658,0.3744,0.4185,0.95
3.735297,0.7336,0.3814,0.4309,0.93
3.752545,0.7182,0.3380,0.3999,0.89
3.772805,0.6901,0.2879,0.3882,0.84
3.801170,0.6116,0.2006,0.3205,0.72
3.818610,0.5545,0.1533,0.2900,0.64
3.837228,0.5193,0.1366,0.2612,0.60
3.852905,0.5245,0.1117,0.2529,0.59
3.883665,0.6207,0.1034,0.2900,0.69
3.901290,0.7099,0.1217,0.3196,0.79
3.918250,0.8077,0.1251,0.3939,0.91
3.934892,0.9317,0.1447,0.4466,1.04
3.952982,1.0329,0.1864,0.4684,1.15
3.990358,1.1066,0.1918,0.4125,1.20
4.005217,1.1161,0.1666,0.3496,1.18
4.017807,1.1089,0.1371,0.3279,1.16
4.034663,1.1308,0.0734,0.3606,1.19
4.071701,1.2254,0.0441,0.5732,1.35
4.086710,1.1814,0.0667,0.6245,1.34
4.101089,1.1904,0.0988,0.5949,1.33
4.117597,1.2102,0.2297,0.5658,1.36
4.136560,1.2371,0.4235,0.7987,1.53
4.176530,0.9577,0.6690,0.8854,1.47
4.177002,0.9577,0.6690,0.8854,1.47
4.202048,0.7190,0.5481,0.5116,1.04
4.217430,0.6730,0.4235,0.3264,0.86
