time,gFx,gFy,gFz,TgF
2.689768,0.6473,0.2407,0.2821,0.75
2.705640,0.6393,0.2610,0.2979,0.75
2.723050,0.5816,0.2239,0.2467,0.67
2.745708,0.5767,0.1308,0.1796,0.62
2.772235,0.6237,0.1158,0.1979,0.66
2.790067,0.6407,0.1203,0.2346,0.69
2.806359,0.6894,0.1244,0.2529,0.74
2.824480,0.7798,0.0985,0.2560,0.83
2.863415,1.1159,0.3155,0.3373,1.21
2.863767,1.1159,0.3155,0.3373,1.21
2.885481,1.1426,0.4755,0.5045,1.34
2.904740,1.2323,0.4640,0.5616,1.43
2.942818,1.2063,0.2961,0.8847,1.52
2.956712,1.2063,0.2109,0.8497,1.49
2.971668,1.1091,0.2048,0.8329,1.40
2.989125,1.1084,0.2211,0.8597,1.42
3.005353,1.2373,0.1911,0.7295,1.45
3.043420,1.1531,0.1317,0.5011,1.26
3.060687,1.1126,0.1279,0.4232,1.20
3.071321,1.1117,0.1347,0.4229,1.20
3.089280,1.1228,0.1415,0.4251,1.21
3.107549,1.0707,0.1457,0.4596,1.17
3.138225,0.8978,0.1366,0.4368,1.01
3.160209,0.7727,0.1545,0.3999,0.88
3.174207,0.7262,0.1659,0.3836,0.84
3.187953,0.7218,0.1750,0.3713,0.83
3.220989,0.7786,0.1659,0.3836,0.88
3.243653,0.8108,0.1203,0.4307,0.93
3.257516,0.8010,0.0951,0.4540,0.93
3.272332,0.8037,0.0678,0.4540,0.93
3.288694,0.7854,0.0655,0.4437,0.90
3.321368,0.7178,0.0926,0.4324,0.84
3.339463,0.7031,0.1147,0.3799,0.81
3.357595,0.6361,0.1193,0.3628,0.74
3.372043,0.5782,0.1284,0.3662,0.70
3.406257,0.6007,0.1682,0.2663,0.68
3.421896,0.6671,0.1603,0.2035,0.72
3.439744,0.7231,0.1322,0.2189,0.77
3.459361,0.7180,0.0758,0.3315,0.79
3.473835,0.7421,0.0792,0.2912,0.80
3.504459,0.8587,0.1034,0.1232,0.87
3.521351,0.9344,0.0609,0.1410,0.95
3.538748,0.9820,0.0033,0.2306,1.01
3.560362,0.9444,-0.0064,0.3464,1.01
3.575162,0.9254,0.0171,0.3904,1.00
3.604101,0.9117,0.1620,0.6853,1.15
3.620800,1.0172,0.3441,0.8541,1.37
3.637035,1.1472,0.4811,0.8194,1.49
3.658912,1.1266,0.4877,0.8011,1.47
3.674176,1.2237,0.6546,0.7496,1.58
3.703690,1.2936,0.7562,0.5426,1.59
3.720205,1.2654,0.5635,0.5495,1.49
3.737579,1.2517,0.3727,0.5783,1.43
3.757117,1.1604,0.2700,0.5241,1.30
3.787077,0.9918,0.1733,0.3640,1.07
3.803376,0.9540,0.1638,0.3345,1.02
3.820750,0.9227,0.1780,0.3225,0.99
3.837600,0.9051,0.1747,0.2837,0.96
3.857371,0.8222,0.1850,0.3203,0.90
3.886539,0.7658,0.1911,0.3222,0.85
3.907341,0.7246,0.2214,0.2919,0.81
3.920462,0.7116,0.2502,0.2819,0.81
3.958560,0.7321,0.2840,0.3035,0.84
3.975021,0.7267,0.2996,0.2998,0.84
3.988012,0.7118,0.2881,0.2942,0.82
4.002988,0.6628,0.2661,0.2895,0.77
4.040390,0.5511,0.1920,0.2387,0.63
4.052689,0.5515,0.1762,0.2257,0.62
4.069826,0.5342,0.1603,0.2511,0.61
4.086761,0.5284,0.1147,0.2038,0.58
4.103558,0.5806,0.0641,0.1784,0.61
4.139816,0.7267,0.1330,0.2465,0.78
4.154270,0.8254,0.2307,0.3198,0.91
4.169741,0.8848,0.2786,0.3124,0.98
4.187330,0.9283,0.2635,0.2714,1.00
4.219568,0.9808,0.2307,0.3382,1.06
4.236755,0.9862,0.2994,0.5311,1.16
4.257793,1.0346,0.3079,0.5798,1.23
4.280354,1.0988,0.3590,0.8795,1.45
4.303380,1.1819,0.3126,0.8621,1.50
4.319197,1.1970,0.2730,0.7600,1.44
4.336634,1.1641,0.2297,0.7044,1.38
4.357861,1.3309,0.1496,0.5988,1.47
4.373918,1.3779,0.1132,0.6438,1.53
4.403322,1.2100,0.1860,0.5213,1.33
4.420480,1.1755,0.2123,0.5059,1.30
4.436485,1.1460,0.2160,0.4996,1.27
4.459659,1.0817,0.1992,0.4479,1.19
